Name of Organization,Condition(s),Tag,Health Region,City,Address,Postal Code,Contact email,Contact phone number,Contact website,Status,Services offered,Language restriction,Age restriction,Cost,Virtual/In-person,Notes,map,images,images links,,
Pain BC,Chronic pain,"Iatrogenic, inflammatory",VCH,Vancouver,"800 - 525 West 8th Avenue, Vancouver, BC",V5Z 1C6,N/A,1-844-430-0818,https://painbc.ca/find-help,Active,A self-paced online program designed to help people undergoing surgery and their families learn better manage pain after surgery and decrease complications,N/A,Youth and adults,Free,Both virtual/in-person,Inflammatory,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d650.9091575013944!2d-123.11639893032162!3d49.26433287337698!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673c6ba9de355%3A0xdf42a43a76d86a59!2sPain%20BC!5e0!3m2!1sen!2sca!4v1736288373018!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/pain.jpg,https://unsplash.com/photos/woman-in-black-tank-top-holding-white-textile-NKTJCOHzrUM,,
Pancreatic Cancer Support,Pancreatic cancer,"cancer, pancreatic, carcinoma, malignancy, tumour, tumor, neoplasm, neoplastic, adenocarcinoma, gland, pancreas",All,All,N/A,N/A,info@craigscause.ca,N/A,https://www.craigscause.ca/support,Active,"Pancreatic Cancer Guide™, helps patients and caregivers navigate the healthcare system and ensure adequate access to resources and care, ultimately improving patient outcomes and quality of life.",N/A,Youth and adults,Free,Virtual only,,,images/pancreatic.jpg,https://unsplash.com/photos/purple-and-blue-heart-illustration-irmUWEcjIz4,,
Parkinson Society BC,Parkinson's,"parkinson, shaking, palsy, neuro, progressive, lewy body, dopamine, movement, PD, motor, hypokinetic, extrapyramidal, chronic neuro, tremors ",VCH,Vancouver,"600 - 890 West Pender Street Vancouver, BC Canada ",V6C 1J9,info@parkinson.bc.ca,1-800-668-3330,https://www.parkinson.bc.ca/,Active,"Education, support groups, events.",English,Adults only,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d230.03162950953356!2d-123.11707531119967!3d49.28566619762878!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5486718214b12b59%3A0x132b1cb93791edf!2s890%20W%20Pender%20St%20%23600%2C%20Vancouver%2C%20BC%20V6C%201J8!5e0!3m2!1sen!2sca!4v1736288068858!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/parkinsons.jpg,https://unsplash.com/photos/a-woman-pushing-a-walker-down-the-street-14Newpakiyw,,
Pathways Serious Mentall Illness Society,"anxiety disorders, bipolar disorder, borderline personality disorder, concurrent disorders, post-traumatic stress disorder, depression, schizoaffective disorder and schizophrenia","neuro, brain, mental, mood, emotion, behavioural, anxiety, depression, borderline, schizo, addiction, substance, stress, worry, psychologic, psychiatric, psychiatry, cognitive, mind",VCH,North van,"101-315 West 1st Street, North Vancouver, BC",V7M 1B5,info@pathwayssmi.org,604-926-0856,https://pathwayssmi.org/,Active,"Family to family psychoeducation, skills building workshop, weekly support groups, one-on-one support",N/A,Adults only,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2600.9836545253156!2d-123.08563310000001!3d49.314593200000004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54866e10361100f9%3A0xc09d4515a404a98c!2sPathways%20Serious%20Mental%20Illness%20Society!5e0!3m2!1sen!2sca!4v1736310601908!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/anxiety.jpg,https://unsplash.com/photos/man-in-orange-long-sleeve-shirt-sitting-on-gray-couch-rXrMy7mXUEs,,
Paul's Club,"Anything, but funded by the Alzheimer's Society of Canada","Alzheimer's, caregiver respite",VCH,Vancouver,"111 Robson Street
Vancouver, B.C.
",V6B 2M4,nita@paulsclub.ca,778-558-1894,https://paulsclub.weebly.com/,Active,"Caregiver respite, open from 10:00 am - 4:00 pm on Tuesdays, Wednesdays, and Thursdays 50 weeks of the year, minimum 6 hours per day of refreshments, snacks, and a daily choice of hot lunch are part of the program. ",English,Adults only,Free,In-person only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d273.59845228812384!2d-123.11432059613715!3d49.2778788143996!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673d246b49373%3A0xbd70f00d31dcffc6!2sPaul&#39;s%20Club!5e0!3m2!1sen!2sca!4v1736288203795!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/pauls.jpg,https://unsplash.com/photos/a-digital-painting-of-a-flower-and-bubbles-VY_Io5Ik3u4,,
Pauls Club,Dementia,"Young Onset Dementia, Dementia, Alzhimer's, Repsite, Caregiver",VCH,Vancouver,111 Robson Street ,V6B 2A8,nita@paulsclub.ca,778-558-1894,https://paulsclub.weebly.com/,Active,"Paul's Club is open from 10:00 am - 4:00 pm on Tuesdays, Wednesdays, and Thursdays 50 weeks of the year, and is led by a Program Director, Chelsea Grills, who has a degree in Therapeutic Recreation from Douglas College. A maximum of 15 Members attend the Club each day. You can choose which day or days of the week work best for you.",,,Out of pocket,In person,"Please call or email whenever it's convenient for you — day, evening, or weekend.
We are happy to meet with you at Paul's Club or at any coffee shop of your choice.","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10411.670320105548!2d-123.12431356266606!3d49.27795894417672!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673d246b49373%3A0xbd70f00d31dcffc6!2sPaul&#39;s%20Club!5e0!3m2!1sen!2sca!4v1736311479375!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/friends1.jpg,https://unsplash.com/photos/couple-dancing-8YVaEljM-9I,,
Pituitary Network Association ,Pituitary disorders,"endocrine, hormonal, gland, endocrinology, signalling, hormone, secretion, pathway, pituitary, cushing, acromegaly",All,,N/A,N/A,N/A,N/A,https://pituitary.org/medical-resources/pituitary-family-resource-center/,Active,"Educational resources, online webinar, research articles.",N/A,Youth and adults,Free,Virtual only,US/international virtual resource,,images/hormone2.jpg,https://unsplash.com/photos/oral-contraceptive-pill-on-blue-panel-gRRtWpFFMK8,,
PKD Foundation of Canada ,Polycystic Kidney Disease,"polycystic, kidney, disease, cystic, renal,",All,National,"3-1750 the Queensway, Suite 158
Etobicoke, Ontario",M9C 5H5,N/A,1-877-410-1741,https://www.endpkd.ca/start_here,Active,"Webinars, Peer Support.","English, French",Adults only,Free,Both virtual/in-person,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2888.58354023858!2d-79.560024723423!3d43.61521215488637!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b49cbf6d8bed7%3A0xcdfac0f6d46292c6!2sPKD%20Foundation%20of%20Canada!5e0!3m2!1sen!2sca!4v1736289412257!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",,images/kidney3.jpg,https://unsplash.com/photos/a-drawing-of-a-human-body-with-the-organs-exposed-UI9t8JAwCS8,,
Post-COVID-19 Interdisciplinary Clinical Care Network,Long Covid,"infection, respiratory, COVID, pandemic, coronavirus, SARS-CoV-2",Providence,Vancouver,N/A,N/A,post-COVID-ICCN@phsa.ca,N/A,http://www.phsa.ca/our-services/programs-services/post-covid-19-care-network,Active,Caregivers can request appointments or consultations with members of the healthcare team to ask for specific guidance on how to care for someone with long COVID.,N/A,Youth and adults,Referral,Virtual only,,,images/covid.jpg,https://unsplash.com/photos/brown-bear-plush-toy-on-white-table-E37ulnh8Obg,,
Power of Hope Program - Fertility Preservation Funding for Cancer Patients,Cancer,"cancer, malignancy, neoplasm, carcinoma, tumor, tumour, oncology, oncologic, malignant, neoplastic, sarcoma, adenocarcinoma, hematologic, carcinogenic, metastatic, myeloma, fertiity, family planning, baby, kids, children, freeze eggs, save sperm",All,All,N/A,N/A,N/A,N/A,https://fertilefuture.ca/programs/power-of-hope/,Unclear,"The Power of Hope is a cost reduction program. It is a multi-dimensional plan that offers financial assistance to qualifying cancer patients, providing a reduction in the overall cost required to pursue fertility preservation treatment.",N/A,Adults only,Free,In-person only,,,images/hope.jpg,https://unsplash.com/photos/red-and-gold-round-pendant-u9TOg2ZBMYo,,
Prostate Cancer Supportive Care (PCSC) Program,"Prostate cancer, prostate, men, man, male","cancer, prostate, prostatic, tumour, tumor, neoplasm, adenocarcinoma, carcinoma, malignancy, malignant, metastatic, gland, adenoma, men, man, male",VCH,Vancouver,"Level 6 - 2775 Laurel Street, Vancouver, British Columbia",V5Z 1M9,pcsc@vch.ca,604-875-4485,https://pcscprogram.ca/,Active,1) Introduction to Prostate Cancer and Primary Treatment Options 2) Managing the Impact of Prostate Cancer Treatments on Sexual Function and Intimacy 3) Recognition & Management of Treatment Related Side Effects of Androgen Deprivation Therapy (ADT) 4) Counselling Services. Modules are open to patients and their support partners. ,N/A,Adults only,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5207.6264464019805!2d-123.12691580141936!3d49.260985987365714!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673c2e8b81157%3A0x6e1959e28668aaaa!2sVancouver%2C%20BC%20V5Z%201M9!5e0!3m2!1sen!2sca!4v1736287887441!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/prostate.jpg,https://unsplash.com/photos/a-painting-of-a-womans-breast-showing-the-utensils-4ICUiwfGUrU,,
PSC Partners Seeking a Cure,Primary Sclerosing Cholangitis ,"cholangitis, sclerosing, autoimmune, chronic, gallbladder, PSC, bile, duct, cholestatic, liver",National,Vancouver,"720 Bathurst Street, Toronto ON",,N/A,1 647 848-6953,https://pscpartners.ca/,Active,"Research, support groups",english,Adults only,Free,Both virtual/in-person,,,images/liver.jpg,https://unsplash.com/photos/a-drawing-of-a-human-head-and-neck-_TmpQnqS2ng,,
PSC Partners Seeking a Cure Canada,Primary Sclerosing Cholangitis,"cholangitis, sclerosing, autoimmune, chronic, gallbladder, PSC, bile, duct, cholestatic, liver",National,Vancouver,"720 Bathurst Street, Toronto ON",M5S 2R4,contactus@pscpartners.ca,,https://pscpartners.ca/,Active,"Events for families and patients in various cities, conferences for families and patients.",N/A,Youth and adults,Free,Both virtual/in-person,I found this one while i was researching -- Lindy,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2886.279810261127!2d-79.41339692342109!3d43.663150151786745!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b33a03f03e547%3A0xc100f0f65851edc!2sPSC%20Partners%20Seeking%20a%20Cure%20Canada!5e0!3m2!1sen!2sca!4v1736288798978!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/body.jpg,https://unsplash.com/photos/body-anatomy-mannequins-on-table-bV5AnCQgeUY,,
Rare Disease Foundation,"genetic abnormalities, chromosomal deletions","rare, uncommon",VCH,Vancouver,"4500 Oak Street, RM C234",V6H 3N1,https://rarediseasefoundation.org/,N/A,"https://rarediseasefoundation.org/, info@rarediseasefoundation.org",Active,"3 pillars of research, resources, events. Seed funding, microgrants, research projects, emergency grocery and medical supplies, one-on-one mental health counselling, Rare Finds mobile app, ",N/A,Youth and adults,Out of pocket,In-person only,Subsidized events and counselling. Mainly a fundraising organization. ,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2604.6897673759513!2d-123.12676052318335!3d49.24437077346602!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5486738c25be6d59%3A0x65c9a2f970ccbdf6!2sRare%20Disease%20Foundation!5e0!3m2!1sen!2sca!4v1736288532100!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/rare.jpg,https://unsplash.com/photos/a-yellow-substance-with-red-dots-in-it-BbP7rqIGB3c,,
Rare Trait Hope Society,Aspartylglucosaminuria (AGU),"AGU, aspartylglucosaminidase, glycoproteinosis, aspartylglucosaminiduria",VCH,Vancouver,"2768 W Broadway, Vancouver, BC",V6K 4P4,N/A,(604) 318-7471,https://raretraithope.ca/,Active,Funding for projects that create gene therapies for AGU. Resources to raise awareness about AGU. ,N/A,Youth only,Out of pocket,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2603.6577555472127!2d-123.1675843!3d49.26393249999999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5486730a6f16401f%3A0xa7930d798574695b!2sRare%20Trait%20Hope%20Society!5e0!3m2!1sen!2sca!4v1736288658734!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/hope1.jpg,https://unsplash.com/photos/shallow-focus-photography-of-green-leaf-7URiS9J_Rh8,,
Scleroderma Association BC,Scleroderma,"skin, connective tissue, sclerosis, systemic, CREST, raynaud, dermatolog",VCH,North van,"P.O. Box 16155 Lynn Valley, North Vancouver, BC",V7J 3H2,info@sclerodermabc.ca,1-604-371-1005,https://sclerodermabc.ca/,Active,"Educational webinars, caregiver support groups, local community supports.",N/A,Youth and adults,Free,Both virtual/in-person,I found this one while i was researching -- Lindy,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2599.865647584688!2d-123.04251782317914!3d49.33576236699349!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54867185337ecd73%3A0xf2e7251b40af80f5!2sScleroderma%20Association%20of%20B.C.!5e0!3m2!1sen!2sca!4v1736288815764!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/skin.jpg,https://unsplash.com/photos/woman-wearing-black-scoop-neck-top-5KY5LP_zc44,,
Seniors Services Society of BC,Aging Needs,"Senior, hosuing, homeless",All,,,NA ,info@seniorsservicessociety.ca,604-520-6621,"https://www.seniorsservicessociety.ca/services/
 https://www.seniorsservicessociety.ca/services/#flex-content-component-2",Active,"Housing Navigation Information
  Temporary Housing Program
  Homeless Outreach Services
  Homeless Prevention Program",,,Free/Out of pocket,,Seniors Services Society of BC provides older adults 60+ with information and guidance on housing and support program options to enhance their lives and help them live comfortably and safely in their homes.,,images/senior2.jpg,https://unsplash.com/photos/two-man-laughing-at-each-other-FHiJWoBodrs,,
Seniors' Supportive Housing Program,Aging Needs,"Housing, home, living, apartment, homes, rental housing, independent",All,,,NA ,,"604-443-2218
1800-257-7756",https://www.bchousing.org/housing-assistance/housing-with-support/seniors-supportive-housing,Active,"The Seniors’ Supportive Housing Program provides housing and support services to older adults, seniors and people with disabilities. The Program assists low-income British Columbians who are 55 years of age or older, and people of any age who have a disability or diminished ability.
 
 The Program’s modified apartment units are designed for people who can live independently with some assistance, but who are not eligible for assisted living or a greater level of care.",,,Free/Out of pocket,,Seniors’ Supportive Housing provides low-income seniors and people with disabilities accessible housing with supports.,,images/senior1.jpg,https://unsplash.com/photos/woman-sitting-on-wheelchair-yk7F8bdD0eU,,
Service Canada,Palliative,"Pallative, Death, dying, grief, terminal illness",All,,,NA ,,,www.servicecanada.gc.ca/eng/ei/types/compassionate_care.shtml,Active,Compassionate Care Benefit,,,Free,,,,images/friend1.jpg,https://unsplash.com/photos/woman-and-dog-sitting-on-grass-field-RAd7f8Wv0fo,,
Shelter Aid For Elderly Renters (SAFER),Aging Needs,"Housing, home, living, apartment, homes, rental housing, homeless",All,,,NA ,,"604-443-2218
1800-257-7756",https://www.bchousing.org/housing-assistance/rental-assistance-programs/SAFER,Active,Lower income seniors renting in the private market may be eligible for a rent supplement through SAFER.,,,Free/Out of pocket,,The Shelter Aid for Elderly Renters (SAFER) program helps make rents affordable for BC seniors with low to moderate incomes. SAFER provides monthly cash payments to subsidize rents for eligible BC residents who are age 60 or over. Existing clients need to reapply each year.,,images/elderly1.jpg,https://unsplash.com/photos/three-persons-near-car-5mh_0an7C7c,,
Smart Sex Resource,STIs,"infection, sexual, STI, STD, veneral, genital, STDI, genitourinary",PHSA,,N/A,N/A,N/A,N/A,https://smartsexresource.com/,Active,"Clinic finder, education and communication tips.",N/A,Youth and adults,Free,Virtual only,,,images/std.jpg,https://unsplash.com/photos/yellow-banana-fruit-on-green-textile-ajcB5Nl8p40,,
South Okanagan Similkameen Brain Injury Society,TBI,"trauma, brain, injury, head, cranial, concussive, skull, cerebral, neuro, TBI, concussion, cranio, blunt",Interior,Penticton,"2-996 Main Street, Penticton, BC V2A 5E4",V2A 5E4,info@sosbis.com,250-490-0613,www.sosbis.com,Active,"Monthly caregiver support group on the last monday of the month (1:30-3PM). Peer support, day programs, educational programs, access to resources, case management.",English,Adults only,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2591.719986270052!2d-119.59015832317225!3d49.489796156065474!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548289d855e51c7d%3A0xe816768ad5f9cc48!2sSouth%20Okanagan%20Similkameen%20Brain%20Injury%20Society!5e0!3m2!1sen!2sca!4v1736289660078!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/trauma2.jpg,https://unsplash.com/photos/a-white-sculpture-of-a-man-sitting-on-a-blue-surface-8BfVCjSMw_c,,
Spinal Cord Injury BC (SCI-BC),TBI,"trauma, brain, injury, head, cranial, concussive, skull, cerebral, neuro, TBI, concussion, cranio, blunt",All,Smithers,"4255 Laurel Street, Vancouver, BC V5Z 2G9",V5Z 2G9,info@sci-bc.ca,604-326-1229,www.sci-bc.ca,Active,Peer Program for caregivers and family members of those impacted by SCI.,English,Youth and adults,Free,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d774.3298650378314!2d-123.12598663878582!3d49.24749752081714!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5486738d8c42ff35%3A0xde99ffb2209de9d4!2s4255%20Laurel%20St%2C%20Vancouver%2C%20BC%20V5Z%202G9!5e0!3m2!1sen!2sca!4v1736289786168!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/spine2.jpg,https://unsplash.com/photos/white-animal-skull-on-gray-wooden-surface-i_bXP0ftyyY,,"All HandyDART trips are a 1-Zone fare
 AGE FARE TYPE COST
 Adult (19-64) 1-Zone Cash $3.15
 1-Zone Monthly Pass on Compass Card $104.90
 1-Zone Stored Value on Compass Card $2.55
 Concession (13 to 18 and 65+)
 1-Zone Cash $2.10
 1-Zone Stored Value on Compass Card $2.10
 Monthly Pass on Compass Cards* $59.95"
Supportive Cancer Care Program,Cancer,"cancer, malignancy, neoplasm, carcinoma, tumor, tumour, oncology, oncologic, malignant, neoplastic, sarcoma, adenocarcinoma, hematologic, carcinogenic, metastatic, myeloma, cancer care, care, support, cancer support",All,All,N/A,N/A,N/A,250-712-3900,http://www.bccancer.bc.ca/our-services/services/supportive-care,Active,"Counsellors can speak with you and/or a family member in person or over the phone about coping with emotions, challenges in relationships and dealing with the practical and financial concerns that can arise because of a cancer diagnosis.",N/A,Youth and adults,Free,Both virtual/in-person,"Patients can self-refer to Patient & Family Counselling, Spiritual Care and Vocational Rehabilitation",,images/cancer4.jpg,https://unsplash.com/photos/blue-and-red-abstract-painting-p1zy6izFI0M,,
The Isaac Foundation,Mucopolysaccharidosis Type II (MPS II),"Hunter, mucopolysaccharidosis, MPS II, iduronate, sulfatase",National,Vancouver,"5291 County Rd. 30, Campbellford, ON",K0L 1L0,mcfadyena@me.com,613-328-9136,https://www.theisaacfoundation.com/,Active,"Funds research projects that aim to find a cure for MPS. Provide support for families of individuals suffering from MPS and advocate on their behalf to ensure government funding for expensive, life-sustaining treatments are covered by the health care system.",N/A,Youth and adults,Out of pocket,Virtual only,"Unsure why the contact address listed is in ON, this is North Vancouver organization and the contact email is Deb Purcell, a Vancouver parent of a child with MPSII. ","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2857.5830749414995!2d-77.8143292!3d44.2568227!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89d60414dacd63db%3A0x9a3b6fa77d74316!2sThe%20Isaac%20Foundation!5e0!3m2!1sen!2sca!4v1736288601052!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/genetics.jpg,https://unsplash.com/photos/a-close-up-of-a-cell-phone-with-a-picture-of-a-cell-phone-MES6r7WFb0o,,
The Urology Foundation,Bladder Cancer,"bladder, cancer, blood, hematuria, urothelial, carcinoma, squamous, adenocarcinoma",All,National,"4963 Yonge Street, Suite 1000, Toronto, ON",M2N6S3,info@bladdercancercanada.org,1-866-674-8889,https://bladdercancercanada.org/en/,Active,"Direct one-on-one support with bladder cancer survivors (education meetings and online discussion forum), Support Groups (including women's only and caregiver's group)","English, French",Adults only,Free,Virtual only,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2881.3708208863186!2d-79.41411602341698!3d43.76516074518168!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b2d6579b8fb99%3A0xed6efce9718ebc69!2s4963%20Yonge%20St%20%231000%2C%20North%20York%2C%20ON%20M2N%205N6!5e0!3m2!1sen!2sca!4v1736289515008!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",,images/bladder.jpg,https://unsplash.com/photos/a-pencil-drawing-of-a-flower-on-a-white-paper-4lh8-uR7xCI,,
Thyroid Foundation of Canada - BC Region,Thyroid,"thyroid, gland, hormone, endocrine",All,,N/A,N/A,info@thyroid.ca,1-800-267-8822,https://thyroid.ca/,Active,Educational resources.,English,Youth and adults,Free,Virtual only,,,images/thryoid.jpg,https://unsplash.com/photos/the-back-of-a-womans-head-with-her-hair-in-a-bun-LVNshcjXv1k,,
Trans Care BC,Transgender care,transgender,All,Vancouver,NA,NA,transcareteam@phsa.ca,1-866-999-1514,https://www.transcarebc.ca/,Active,"Peer support directory, finding counsellors, support resources for caregivers",English,Youth and adults,Free,Virtual only,,,images/trans.jpg,https://unsplash.com/photos/a-rainbow-flag-flying-high-in-the-sky-AO3YjzAU4EE,,
Vancouver Coastal Health,Palliative,"Pallative, Death, dying, grief, terminal illness",VCH,,,NA ,,"North Shore
 Phone: (604) 984-3743
 Fax: (604) 984-3798
 
 Vancouver
 Phone: (604) 263-7255
 Fax: (604) 872-7270
 
 Sea to Sky
 Phone: (604) 892-6051
 Fax (604) 892-6027
 
 Other communities
 Please contact your local health unit",https://www.vch.ca/en/health-topics/palliative-care,Active,"A palliative approach to care follows your values, beliefs and wishes, and can be provided in any setting including at home, outpatient clinics, long term care homes, hospitals and hospices. VCH offers a range of palliative care services.",,,Free,,,,images/health1.jpg,https://unsplash.com/photos/a-bowl-of-red-tomatoes-jVLahCBXaJs,,
Vancouver Coastal Health,"Dementia, Aging","Aging, Seniors, Community, Programs, Senior, Caregiver, Respite, Dementia, Alzhimers, Aging, Medical, Health, Health Authority, Intake, Home support, Home health",VCH,,,NA ,,811 ask for central intake for your area,https://www.vch.ca/en/search?q=respite,Active,If approved its possible to receive health authority respite,,,Free/Out of pocket,,"If you or a family member want home and community care services, you must:
 
  be a resident of British Columbia;
  be a Canadian citizen or have permanent resident status. You must be a landed immigrant or be on a Minister’s permit approved by the Ministry of Health Services;
 
  and need care at home after you have been released from the hospital to prevent you from going back or for a life-limiting illness.
 
 You must meet additional eligibility requirements for some of our services, such as home support, assisted living, adult day services and long-term care. You must:
 
  be aged 19 or over;
  lived in British Columbia for at least three months;
  and unable to function independently because of chronic, health-related problems or have been diagnosed by a doctor with an end-stage illness.
 
 There may be other specific criteria in place for other programs.
 Assessment criteria
 
 In addition to meeting the general eligibility criteria described above, each service has its own needs assessment criteria that you must meet. Our health care professionals will work with you, your family, your doctor and other health care professionals to assess: 
 
  your eligibility for home and community care services;
  what services best meet your needs and situation;
  how long you may need these services;
  and the costs, if any, for these services.
 
 Prepare for an assessment",,images/health5.jpg,https://unsplash.com/photos/person-in-white-medical-scrub-suit-standing-beside-white-and-blue-hospital-bed-LxPrHCm8-TI,,
Vancouver Island Persons Living with HIV/AIDS Society,HIV/AIDS,"infection, sexual, STI, STD, veneral, genital, STDI, genitourinary, human immunodeficiency virus, acquired immunodeficiency, HIV, AIDs, retroviral, immunocompromise",Vancouver island,Vicotria,205 - 1120 Yates Street. Victoria,V8V 3M9,support@vpwas.org,250.382.7927,https://vpwas.com/,Active,"Offers caregiver support through education on HIV care, counseling services, peer support groups, and access to social services. Caregivers can receive guidance on managing the challenges of supporting someone with HIV, along with access to respite care, practical assistance, and community resources for emotional and financial support.",N/A,Adults only,Free,Virtual only,"For HIV positive, gay/bi men iin Vicotria","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2647.6290867693288!2d-123.35508252321979!3d48.42526483108884!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548f7489144b0c0f%3A0xf10090b038c3af64!2sVancouver%20Island%20Persons%20Living%20with%20HIV%2FAIDS%20Society!5e0!3m2!1sen!2sca!4v1736287698142!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/aids.jpg,https://unsplash.com/photos/a-female-doctor-wearing-a-red-ribbon-and-a-stethoscope-NztECzFtPyw,,
